,ori,data_year,offense,state_abbr,cleared,actual
9,AL0011000,2019,property-crime,AL,90,560
10,AL0011100,2019,property-crime,AL,49,169
11,AL0011200,2019,property-crime,AL,478,1922
12,AL0011300,2019,property-crime,AL,111,182
13,AL0011400,2019,property-crime,AL,8,77
14,AL0011900,2019,property-crime,AL,55,198
15,AL0012000,2019,property-crime,AL,0,0
16,AL0012100,2019,property-crime,AL,81,172
17,AL0012200,2019,property-crime,AL,19,93
18,AL0012300,2019,property-crime,AL,1,12
19,AL0012400,2019,property-crime,AL,72,215
0,AK0010100,2010,violent-crime,AK,1340,2432
1,AK0010200,2010,violent-crime,AK,107,284
2,AK0010300,2010,violent-crime,AK,102,133
3,AK0010400,2010,violent-crime,AK,17,29
4,AK0010500,2010,violent-crime,AK,41,80
5,AK0010600,2010,violent-crime,AK,7,17
6,AK0010700,2010,violent-crime,AK,0,12
7,AK0010800,2010,violent-crime,AK,0,3
8,AK0010900,2010,violent-crime,AK,25,33
9,AK0011000,2010,violent-crime,AK,0,2
10,AK0011100,2010,violent-crime,AK,0,0
11,AK0011200,2010,violent-crime,AK,16,20
12,AK0011300,2010,violent-crime,AK,25,63
13,AK0011400,2010,violent-crime,AK,4,5
14,AK0011600,2010,violent-crime,AK,11,27
15,AK0011700,2010,violent-crime,AK,27,34
16,AK0011800,2010,violent-crime,AK,38,69
17,AK0012000,2010,violent-crime,AK,18,20
18,AK0012100,2010,violent-crime,AK,4,7
19,AK0012200,2010,violent-crime,AK,35,40
0,AK0010100,2011,violent-crime,AK,1240,2388
1,AK0010200,2011,violent-crime,AK,96,177
2,AK0010300,2011,violent-crime,AK,120,159
3,AK0010400,2011,violent-crime,AK,13,28
4,AK0010500,2011,violent-crime,AK,47,92
5,AK0010600,2011,violent-crime,AK,25,34
6,AK0010700,2011,violent-crime,AK,11,13
7,AK0010800,2011,violent-crime,AK,1,2
8,AK0010900,2011,violent-crime,AK,22,16
9,AK0011000,2011,violent-crime,AK,1,2
10,AK0011100,2011,violent-crime,AK,3,3
11,AK0011200,2011,violent-crime,AK,4,11
12,AK0011300,2011,violent-crime,AK,29,63
13,AK0011400,2011,violent-crime,AK,9,11
14,AK0011600,2011,violent-crime,AK,32,53
15,AK0011700,2011,violent-crime,AK,14,19
16,AK0011800,2011,violent-crime,AK,43,94
17,AK0012000,2011,violent-crime,AK,15,16
18,AK0012100,2011,violent-crime,AK,13,14
19,AK0012200,2011,violent-crime,AK,21,34
0,AK0010100,2012,violent-crime,AK,1336,2479
1,AK0010200,2012,violent-crime,AK,110,169
2,AK0010300,2012,violent-crime,AK,94,115
3,AK0010400,2012,violent-crime,AK,15,29
4,AK0010500,2012,violent-crime,AK,48,121
5,AK0010600,2012,violent-crime,AK,17,23
6,AK0010700,2012,violent-crime,AK,9,12
7,AK0010800,2012,violent-crime,AK,1,2
8,AK0010900,2012,violent-crime,AK,10,12
9,AK0011000,2012,violent-crime,AK,1,2
10,AK0011100,2012,violent-crime,AK,3,3
11,AK0011200,2012,violent-crime,AK,7,14
12,AK0011300,2012,violent-crime,AK,23,49
13,AK0011400,2012,violent-crime,AK,3,4
14,AK0011600,2012,violent-crime,AK,53,78
15,AK0011700,2012,violent-crime,AK,14,18
16,AK0011800,2012,violent-crime,AK,42,70
17,AK0012000,2012,violent-crime,AK,13,15
18,AK0012100,2012,violent-crime,AK,6,4
19,AK0012200,2012,violent-crime,AK,47,54
0,AK0010100,2013,violent-crime,AK,1226,2435
1,AK0010200,2013,violent-crime,AK,112,213
2,AK0010300,2013,violent-crime,AK,94,134
3,AK0010400,2013,violent-crime,AK,21,32
4,AK0010500,2013,violent-crime,AK,59,87
5,AK0010600,2013,violent-crime,AK,26,34
6,AK0010700,2013,violent-crime,AK,4,6
7,AK0010800,2013,violent-crime,AK,4,6
8,AK0010900,2013,violent-crime,AK,10,6
9,AK0011000,2013,violent-crime,AK,3,3
10,AK0011100,2013,violent-crime,AK,6,6
11,AK0011200,2013,violent-crime,AK,11,16
12,AK0011300,2013,violent-crime,AK,45,56
13,AK0011400,2013,violent-crime,AK,6,9
14,AK0011600,2013,violent-crime,AK,57,85
15,AK0011700,2013,violent-crime,AK,7,20
16,AK0011800,2013,violent-crime,AK,47,79
17,AK0012000,2013,violent-crime,AK,16,19
18,AK0012100,2013,violent-crime,AK,5,7
